id,EAP,HPL,MWS
id02310,0.40231368,0.28906503,0.30862123
id24541,0.40231368,0.28906503,0.30862123
id00134,0.40231368,0.28906503,0.30862123
id27757,0.40231368,0.28906503,0.30862123
id04081,0.40231368,0.28906503,0.30862123
id27337,0.40231368,0.28906503,0.30862123
id24265,0.40231368,0.28906503,0.30862123
id25917,0.40231368,0.28906503,0.30862123
id04951,0.40231368,0.28906503,0.30862123
id14549,0.40231368,0.28906503,0.30862123
id22505,0.40231368,0.28906503,0.30862123
id24002,0.40231368,0.28906503,0.30862123
id18982,0.40231368,0.28906503,0.30862123
id15181,0.40231368,0.28906503,0.30862123
id21888,0.40231368,0.28906503,0.30862123
id12035,0.40231368,0.28906503,0.30862123
id17991,0.40231368,0.28906503,0.30862123
id10707,0.40231368,0.28906503,0.30862123
id07101,0.40231368,0.28906503,0.30862123
id00345,0.40231368,0.28906503,0.30862123
id05912,0.40231368,0.28906503,0.30862123
id13443,0.40231368,0.28906503,0.30862123
id09248,0.40231368,0.28906503,0.30862123
id17542,0.40231368,0.28906503,0.30862123
id06995,0.40231368,0.28906503,0.30862123
id25159,0.40231368,0.28906503,0.30862123
id25729,0.40231368,0.28906503,0.30862123
id26949,0.40231368,0.28906503,0.30862123
id27191,0.40231368,0.28906503,0.30862123
id07668,0.40231368,0.28906503,0.30862123
id02230,0.40231368,0.28906503,0.30862123
id15553,0.40231368,0.28906503,0.30862123
id25688,0.40231368,0.28906503,0.30862123
id17545,0.40231368,0.28906503,0.30862123
id13929,0.40231368,0.28906503,0.30862123
id12880,0.40231368,0.28906503,0.30862123
id19282,0.40231368,0.28906503,0.30862123
id14690,0.40231368,0.28906503,0.30862123
id17975,0.40231368,0.28906503,0.30862123
id08037,0.40231368,0.28906503,0.30862123
id15412,0.40231368,0.28906503,0.30862123
id25032,0.40231368,0.28906503,0.30862123
id27165,0.40231368,0.28906503,0.30862123
id03327,0.40231368,0.28906503,0.30862123
id18515,0.40231368,0.28906503,0.30862123
id21003,0.40231368,0.28906503,0.30862123
id23855,0.40231368,0.28906503,0.30862123
id20724,0.40231368,0.28906503,0.30862123
id13303,0.40231368,0.28906503,0.30862123
id16521,0.40231368,0.28906503,0.30862123
id20775,0.40231368,0.28906503,0.30862123
id13029,0.40231368,0.28906503,0.30862123
id14660,0.40231368,0.28906503,0.30862123
id11028,0.40231368,0.28906503,0.30862123
id14180,0.40231368,0.28906503,0.30862123
id25860,0.40231368,0.28906503,0.30862123
id11910,0.40231368,0.28906503,0.30862123
id08065,0.40231368,0.28906503,0.30862123
id22674,0.40231368,0.28906503,0.30862123
id25018,0.40231368,0.28906503,0.30862123
id10892,0.40231368,0.28906503,0.30862123
id10217,0.40231368,0.28906503,0.30862123
id12996,0.40231368,0.28906503,0.30862123
id18262,0.40231368,0.28906503,0.30862123
id08606,0.40231368,0.28906503,0.30862123
id17233,0.40231368,0.28906503,0.30862123
id00101,0.40231368,0.28906503,0.30862123
id12225,0.40231368,0.28906503,0.30862123
id01364,0.40231368,0.28906503,0.30862123
id24973,0.40231368,0.28906503,0.30862123
id25363,0.40231368,0.28906503,0.30862123
id10061,0.40231368,0.28906503,0.30862123
id17673,0.40231368,0.28906503,0.30862123
id13249,0.40231368,0.28906503,0.30862123
id10107,0.40231368,0.28906503,0.30862123
id04403,0.40231368,0.28906503,0.30862123
id25728,0.40231368,0.28906503,0.30862123
id16184,0.40231368,0.28906503,0.30862123
id03438,0.40231368,0.28906503,0.30862123
id22923,0.40231368,0.28906503,0.30862123
id08610,0.40231368,0.28906503,0.30862123
id25355,0.40231368,0.28906503,0.30862123
id16916,0.40231368,0.28906503,0.30862123
id12793,0.40231368,0.28906503,0.30862123
id11859,0.40231368,0.28906503,0.30862123
id02434,0.40231368,0.28906503,0.30862123
id27703,0.40231368,0.28906503,0.30862123
id25212,0.40231368,0.28906503,0.30862123
id11308,0.40231368,0.28906503,0.30862123
id26094,0.40231368,0.28906503,0.30862123
id22080,0.40231368,0.28906503,0.30862123
id03545,0.40231368,0.28906503,0.30862123
id23725,0.40231368,0.28906503,0.30862123
id12009,0.40231368,0.28906503,0.30862123
id24241,0.40231368,0.28906503,0.30862123
id03596,0.40231368,0.28906503,0.30862123
id10749,0.40231368,0.28906503,0.30862123
id22794,0.40231368,0.28906503,0.30862123
id15482,0.40231368,0.28906503,0.30862123
id04833,0.40231368,0.28906503,0.30862123
id00397,0.40231368,0.28906503,0.30862123
id14691,0.40231368,0.28906503,0.30862123
id05193,0.40231368,0.28906503,0.30862123
id19541,0.40231368,0.28906503,0.30862123
id22166,0.40231368,0.28906503,0.30862123
id20744,0.40231368,0.28906503,0.30862123
id10392,0.40231368,0.28906503,0.30862123
id00770,0.40231368,0.28906503,0.30862123
id06018,0.40231368,0.28906503,0.30862123
id15678,0.40231368,0.28906503,0.30862123
id08305,0.40231368,0.28906503,0.30862123
id08903,0.40231368,0.28906503,0.30862123
id14752,0.40231368,0.28906503,0.30862123
id12468,0.40231368,0.28906503,0.30862123
id05085,0.40231368,0.28906503,0.30862123
id21993,0.40231368,0.28906503,0.30862123
id15503,0.40231368,0.28906503,0.30862123
id03021,0.40231368,0.28906503,0.30862123
id16123,0.40231368,0.28906503,0.30862123
id19383,0.40231368,0.28906503,0.30862123
id04186,0.40231368,0.28906503,0.30862123
id17954,0.40231368,0.28906503,0.30862123
id12030,0.40231368,0.28906503,0.30862123
id13020,0.40231368,0.28906503,0.30862123
id25327,0.40231368,0.28906503,0.30862123
id16344,0.40231368,0.28906503,0.30862123
id12303,0.40231368,0.28906503,0.30862123
id15017,0.40231368,0.28906503,0.30862123
id22308,0.40231368,0.28906503,0.30862123
id06536,0.40231368,0.28906503,0.30862123
id19797,0.40231368,0.28906503,0.30862123
id06332,0.40231368,0.28906503,0.30862123
id22941,0.40231368,0.28906503,0.30862123
id13547,0.40231368,0.28906503,0.30862123
id06928,0.40231368,0.28906503,0.30862123
id12521,0.40231368,0.28906503,0.30862123
id25716,0.40231368,0.28906503,0.30862123
id27116,0.40231368,0.28906503,0.30862123
id19941,0.40231368,0.28906503,0.30862123
id05711,0.40231368,0.28906503,0.30862123
id02097,0.40231368,0.28906503,0.30862123
id03563,0.40231368,0.28906503,0.30862123
id02295,0.40231368,0.28906503,0.30862123
id08179,0.40231368,0.28906503,0.30862123
id05332,0.40231368,0.28906503,0.30862123
id15697,0.40231368,0.28906503,0.30862123
id17026,0.40231368,0.28906503,0.30862123
id04243,0.40231368,0.28906503,0.30862123
id13175,0.40231368,0.28906503,0.30862123
id05387,0.40231368,0.28906503,0.30862123
id19989,0.40231368,0.28906503,0.30862123
id25173,0.40231368,0.28906503,0.30862123
id08925,0.40231368,0.28906503,0.30862123
id03034,0.40231368,0.28906503,0.30862123
id13272,0.40231368,0.28906503,0.30862123
id07956,0.40231368,0.28906503,0.30862123
id02648,0.40231368,0.28906503,0.30862123
id01778,0.40231368,0.28906503,0.30862123
id12846,0.40231368,0.28906503,0.30862123
id19001,0.40231368,0.28906503,0.30862123
id05763,0.40231368,0.28906503,0.30862123
id15590,0.40231368,0.28906503,0.30862123
id04912,0.40231368,0.28906503,0.30862123
id21201,0.40231368,0.28906503,0.30862123
id13215,0.40231368,0.28906503,0.30862123
id15612,0.40231368,0.28906503,0.30862123
id18501,0.40231368,0.28906503,0.30862123
id07223,0.40231368,0.28906503,0.30862123
id06707,0.40231368,0.28906503,0.30862123
id05238,0.40231368,0.28906503,0.30862123
id00935,0.40231368,0.28906503,0.30862123
id00110,0.40231368,0.28906503,0.30862123
id17476,0.40231368,0.28906503,0.30862123
id15170,0.40231368,0.28906503,0.30862123
id13397,0.40231368,0.28906503,0.30862123
id24283,0.40231368,0.28906503,0.30862123
id15234,0.40231368,0.28906503,0.30862123
id16884,0.40231368,0.28906503,0.30862123
id07831,0.40231368,0.28906503,0.30862123
id16038,0.40231368,0.28906503,0.30862123
id03629,0.40231368,0.28906503,0.30862123
id21019,0.40231368,0.28906503,0.30862123
id21835,0.40231368,0.28906503,0.30862123
id04480,0.40231368,0.28906503,0.30862123
id20838,0.40231368,0.28906503,0.30862123
id24195,0.40231368,0.28906503,0.30862123
id05448,0.40231368,0.28906503,0.30862123
id15957,0.40231368,0.28906503,0.30862123
id19956,0.40231368,0.28906503,0.30862123
id15104,0.40231368,0.28906503,0.30862123
id17559,0.40231368,0.28906503,0.30862123
id16839,0.40231368,0.28906503,0.30862123
id14493,0.40231368,0.28906503,0.30862123
id08833,0.40231368,0.28906503,0.30862123
id15723,0.40231368,0.28906503,0.30862123
id02716,0.40231368,0.28906503,0.30862123
id06689,0.40231368,0.28906503,0.30862123
id18837,0.40231368,0.28906503,0.30862123
id04466,0.40231368,0.28906503,0.30862123
id00686,0.40231368,0.28906503,0.30862123
id09010,0.40231368,0.28906503,0.30862123
id23353,0.40231368,0.28906503,0.30862123
id00066,0.40231368,0.28906503,0.30862123
id15724,0.40231368,0.28906503,0.30862123
id23486,0.40231368,0.28906503,0.30862123
id22258,0.40231368,0.28906503,0.30862123
id02292,0.40231368,0.28906503,0.30862123
id16356,0.40231368,0.28906503,0.30862123
id00235,0.40231368,0.28906503,0.30862123
id25522,0.40231368,0.28906503,0.30862123
id04204,0.40231368,0.28906503,0.30862123
id22016,0.40231368,0.28906503,0.30862123
id06480,0.40231368,0.28906503,0.30862123
id08718,0.40231368,0.28906503,0.30862123
id05251,0.40231368,0.28906503,0.30862123
id03359,0.40231368,0.28906503,0.30862123
id16117,0.40231368,0.28906503,0.30862123
id17000,0.40231368,0.28906503,0.30862123
id01730,0.40231368,0.28906503,0.30862123
id00630,0.40231368,0.28906503,0.30862123
id18175,0.40231368,0.28906503,0.30862123
id00907,0.40231368,0.28906503,0.30862123
id18251,0.40231368,0.28906503,0.30862123
id25861,0.40231368,0.28906503,0.30862123
id00398,0.40231368,0.28906503,0.30862123
id27573,0.40231368,0.28906503,0.30862123
id10022,0.40231368,0.28906503,0.30862123
id15901,0.40231368,0.28906503,0.30862123
id00451,0.40231368,0.28906503,0.30862123
id23129,0.40231368,0.28906503,0.30862123
id26498,0.40231368,0.28906503,0.30862123
id14741,0.40231368,0.28906503,0.30862123
id18453,0.40231368,0.28906503,0.30862123
id08309,0.40231368,0.28906503,0.30862123
id00320,0.40231368,0.28906503,0.30862123
id07688,0.40231368,0.28906503,0.30862123
id01556,0.40231368,0.28906503,0.30862123
id00178,0.40231368,0.28906503,0.30862123
id18902,0.40231368,0.28906503,0.30862123
id27002,0.40231368,0.28906503,0.30862123
id21418,0.40231368,0.28906503,0.30862123
id23018,0.40231368,0.28906503,0.30862123
id07032,0.40231368,0.28906503,0.30862123
id16195,0.40231368,0.28906503,0.30862123
id11202,0.40231368,0.28906503,0.30862123
id09578,0.40231368,0.28906503,0.30862123
id26984,0.40231368,0.28906503,0.30862123
id19856,0.40231368,0.28906503,0.30862123
id12086,0.40231368,0.28906503,0.30862123
id12052,0.40231368,0.28906503,0.30862123
id17728,0.40231368,0.28906503,0.30862123
id24608,0.40231368,0.28906503,0.30862123
id21097,0.40231368,0.28906503,0.30862123
id20179,0.40231368,0.28906503,0.30862123
id15144,0.40231368,0.28906503,0.30862123
id00206,0.40231368,0.28906503,0.30862123
id22285,0.40231368,0.28906503,0.30862123
id06417,0.40231368,0.28906503,0.30862123
id00215,0.40231368,0.28906503,0.30862123
id04201,0.40231368,0.28906503,0.30862123
id21771,0.40231368,0.28906503,0.30862123
